2024-08-13 00:43:12 startup archives unpack
2024-08-13 00:43:12 install netbase:all <none> 6.4
2024-08-13 00:43:12 status half-installed netbase:all 6.4
2024-08-13 00:43:12 status unpacked netbase:all 6.4
2024-08-13 00:43:12 install readline-common:all <none> 8.2-1.3
2024-08-13 00:43:12 status half-installed readline-common:all 8.2-1.3
2024-08-13 00:43:12 status unpacked readline-common:all 8.2-1.3
2024-08-13 00:43:12 install libssl3:amd64 <none> 3.0.13-1~deb12u1
2024-08-13 00:43:12 status triggers-pending libc-bin:amd64 2.36-9+deb12u7
2024-08-13 00:43:12 status half-installed libssl3:amd64 3.0.13-1~deb12u1
2024-08-13 00:43:12 status unpacked libssl3:amd64 3.0.13-1~deb12u1
2024-08-13 00:43:12 install openssl:amd64 <none> 3.0.13-1~deb12u1
2024-08-13 00:43:12 status half-installed openssl:amd64 3.0.13-1~deb12u1
2024-08-13 00:43:12 status unpacked openssl:amd64 3.0.13-1~deb12u1
2024-08-13 00:43:12 install ca-certificates:all <none> 20230311
2024-08-13 00:43:12 status half-installed ca-certificates:all 20230311
2024-08-13 00:43:12 status unpacked ca-certificates:all 20230311
2024-08-13 00:43:12 install libpsl5:amd64 <none> 0.21.2-1
2024-08-13 00:43:12 status half-installed libpsl5:amd64 0.21.2-1
2024-08-13 00:43:12 status unpacked libpsl5:amd64 0.21.2-1
2024-08-13 00:43:12 install wget:amd64 <none> 1.21.3-1+b2
2024-08-13 00:43:12 status half-installed wget:amd64 1.21.3-1+b2
2024-08-13 00:43:12 status unpacked wget:amd64 1.21.3-1+b2
2024-08-13 00:43:12 install libbrotli1:amd64 <none> 1.0.9-2+b6
2024-08-13 00:43:12 status half-installed libbrotli1:amd64 1.0.9-2+b6
2024-08-13 00:43:13 status unpacked libbrotli1:amd64 1.0.9-2+b6
2024-08-13 00:43:13 install libkrb5support0:amd64 <none> 1.20.1-2+deb12u2
2024-08-13 00:43:13 status half-installed libkrb5support0:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:13 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:13 install libk5crypto3:amd64 <none> 1.20.1-2+deb12u2
2024-08-13 00:43:13 status half-installed libk5crypto3:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:13 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:13 install libkeyutils1:amd64 <none> 1.6.3-2
2024-08-13 00:43:13 status half-installed libkeyutils1:amd64 1.6.3-2
2024-08-13 00:43:13 status unpacked libkeyutils1:amd64 1.6.3-2
2024-08-13 00:43:13 install libkrb5-3:amd64 <none> 1.20.1-2+deb12u2
2024-08-13 00:43:13 status half-installed libkrb5-3:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:13 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:13 install libgssapi-krb5-2:amd64 <none> 1.20.1-2+deb12u2
2024-08-13 00:43:13 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:13 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:13 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg-10
2024-08-13 00:43:13 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-08-13 00:43:13 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-08-13 00:43:13 install libsasl2-2:amd64 <none> 2.1.28+dfsg-10
2024-08-13 00:43:13 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2024-08-13 00:43:13 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2024-08-13 00:43:13 install libldap-2.5-0:amd64 <none> 2.5.13+dfsg-5
2024-08-13 00:43:13 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
